waypoint1	waypoint2	distance_m	duration_s
Hwy 190 California	Slumgullion Pass West Colorado	1598061	324349
Empire Pass Utah	Hwy 180 West California	1053953	239331
Left Hand Canyon Colorado	Dantes View California	1506829	299467
Mt Baldy California	Tollhouse Rd California	544631	111355
Mt Hood Oregon	Hwy 38-Valley of Falls California	1605417	300692
Mt Spokane Washington	Mt Baldy California	1907903	363579
Sonora Pass West California	Mt Hood Oregon	1006104	195276
Powder Mountain Utah	Beartooth Pass North Montana	746865	151681
Palomar Mt California	Whitney Portal California	435919	82373
Mt Shasta California	Mt Rose California	367538	71350
Hwy 18-Waterman Canyon California	Hwy 168 California	510183	103630
Empire Pass Utah	White Mountain California	862887	168557
Hwy 14 West Wyoming	Hwy 157-158 Nevada	1447964	282221
Mineral King Rd California	Independence Pass Colorado	1752883	357544
Guardsman Pass Utah	Refugio Rd California	1346959	255236
Mt Graham Arizona	Hwy 198 California	1367435	253623
Hwy 157 Mt Charleston Nevada	Townes Pass West California	253667	52686
Wolf Creek Pass Colorado	Hwy 21-Whittaker Forest California	1617802	319845
Hwy 14 Alt Route Wyoming	Refugio Rd California	2077141	398171
Mt Baldy California	Empire Pass Utah	1194449	234447
Hwy 198 California	N4/Table Mt California	373993	77129
Hwy 31 West Utah	Mt Evans Colorado	725607	156523
Bear Creek Road California	Mt Graham Arizona	1328144	245534
Emigrant Pass East California	Clingman's Dome Tennessee	3807421	722532
Hwy 156-158 Nevada	Balch Park Rd California	706289	133720
Mt Graham Arizona	Mt Baldy California	973118	176633
Townes Pass East California	Mix Canyon Fairfield California	742644	155264
Rock Creek California	Pine Creek Rd California	7806	1445
Hwy 190 California	South Lake California	411399	84753
Hwy 21-245-180-198 California	Hurricane Ridge Washington	1903998	369230
Hwy 39-Crystal Lake Rd California	Mt Auscutney Vermont	5011603	943063
Hwy 153 Utah	South Lake California	684342	128391
Mt Hood Oregon	Big Cottonwood Canyon Utah	1259263	238509
Pikes Peak Colorado	Hwy 190 California	1906926	373746
Bear Creek Road California	Palomar Mt California	519948	105544
Left Hand Canyon Colorado	Hwy 14 West Wyoming	736343	139307
Mt Washington Auto Rd New Hampshire	Hwy 157-158 Nevada	4873721	918178
Hwy 157-158 Nevada	Gibraltar Road Santa Barbara California	621949	112657
Rock Creek California	Sandia Crest Hwy New Mexico	1399417	279089
Lake Sabrina California	Hwy 190 California	411418	84755
Rock Creek California	Dantes View California	250568	50479
Guardsman Pass Utah	Mt Ashland Oregon	1311112	252499
Pikes Peak Colorado	Elkhorn Summit Oregon	1798909	341716
Hwy 330 California	Big Cottonwood Canyon Utah	1126567	217712
Clingman's Dome Tennessee	Hwy 157-158 Nevada	3617597	687729
Palomar Mt California	Parks Creek East California	1227377	243857
Magnolia Dr Colorado	South Lake California	1554133	317983
Hwy 156-Lee Canyon Nevada	Hwy 180 West California	765365	145503
Townes Pass West California	Mt Lemmon Arizona	1017991	183675
Guardsman Pass Utah	Wildrose California	878390	168806
East Portal Colorado	Horseshoe Meadows Rd California	1416542	293255
Wildrose California	Lone Pine-Table Mountain California	235804	46821
Powder Mountain Utah	Breckenridge Rd East California	1286968	252114
Hwy 156-Lee Canyon Nevada	Onion Valley Rd California	352395	71178
Mt Graham Arizona	Big Cottonwood Canyon Utah	1146736	236208
Powder Mountain Utah	Townes Pass West California	941630	181846
Hwy 156-158 Nevada	Hwy 157-158 Nevada	22165	3423
Hwy 168 California	Hwy 190 California	176314	33286
Hwy 157 Mt Charleston Nevada	Guanella Pass Colorado	1368685	281591
Sonora Pass West California	Grand Mesa North Colorado	1347886	271541
