waypoint1	waypoint2	distance_m	duration_s
Hwy 156-158, NV	Gibraltar Road, Santa Barbara, CA	4126155	786538
Trail Ridge Rd, CO	White Mountain, CA	1486659	301785
Mt Hood, OR	Mosquito Ridge Rd East, CA	933074	199955
Pikes Peak, CO	Nate Harrison Grade, CA	1731528	339922
Kolob Terrace Rd, UT	Horseshoe Meadows Rd, CA	687000	147554
Hwy 157 (Mt Charleston), NV	Sandia Crest Hwy, NM	1039412	208677
Cajon Junction, California 92371	Balch Park Rd, CA	385749	81209
Mt Baldy, CA	Nate Harrison Grade, CA	152722	35154
Wheeler Peak, NV	Beasore Rd, CA	785548	169367
Hwy 168, CA	Empire Pass, UT	856341	165803
Wildrose, CA	Magnolia Dr, CO	2335684	436597
Nine Mile Rd, CA	Wolf Creek Pass, CO	3455449	648589
Hwy 153, UT	Hwy 18-Waterman Canyon, CA	846452	174594
Wheeler Peak, NV	Hwy 180 West, CA	910002	185848
Hwy 143, UT	Bear Creek Road, CA	1148461	241073
Mt Washington Auto Rd, NH	Beartooth Pass North, MT	3672575	689359
Beasore Rd, CA	Mosquito Ridge Rd East, CA	435148	98637
Hwy 156-Lee Canyon, NV	Hwy 157-158, NV	31990	6846
Hwy 157-158, NV	Mt Spokane, WA	1693005	325770
Rock Creek, CA	Left Hand Canyon, CO	1941886	373245
Rock Creek, CA	Horseshoe Meadows Rd, CA	623436	128824
Sherman Pass West, CA	Hwy 330, CA	334826	70661
Mt Harrision, ID	Empire Pass, UT	350596	72040
South Lake, CA	Shirley Meadows, CA	39782	14229
Powder Mountain, UT	Parks Creek East, CA	1149701	220562
Nine Mile Rd, CA	Empire Pass, UT	3793108	714360
Hwy 180 West, CA	Mosquito Ridge Rd East, CA	449183	98036
Kolob Terrace Rd, UT	N4/Table Mt, CA	1773281	340176
Hwy 198, CA	Hwy 39-Crystal Lake Rd, CA	513995	113031
Aspen, Colorado	Dantes View, CA	1325048	277961
Hwy 180 West, CA	Mt Evans, CO	2026594	408592
Burke Mt, VT	Hwy 39-Crystal Lake Rd, CA	5154105	957596
Trail Ridge Rd, CO	East Portal, CO	128846	35547
Mt Washington Auto Rd, NH	Hwy 153, UT	4575536	864169
Mt Baldy, CA	White Mountain, CA	480437	95479
Mt Equinox, VT	Whitney Portal, CA	4985116	933723
Powder Mountain, UT	Mosquito Ridge Rd East, CA	1061772	213458
Hwy 180 West, CA	Hwy 156-158, NV	4233781	807511
Dawson's Saddle, CA	Daylight Pass Rd, CA	348906	68806
Wildrose, CA	Mission Ridge, WA	1194514	248045
Mt Harrision, ID	South Lake, CA	1125879	215106
Hwy 21-245-180-198, CA	Beartooth Pass North, MT	1747718	348685
Hwy 156-Lee Canyon, NV	Wildrose, CA	2454348	463895
Shirley Meadows, CA	Townes Pass East, CA	244559	53663
Mineral King Rd, CA	Nate Harrison Grade, CA	587734	128528
Mineral King Rd, CA	Mt Rose, CA	677304	152737
Hwy 198, CA	Dantes View, CA	345393	102620
Mission Ridge, WA	Whitney Portal, CA	1548223	297029
Whitaker Forest Road, Badger, California	White Mountain, CA	238674	84390
Hwy 39-Crystal Lake Rd, CA	Mt Shasta, CA	1287772	254998
Cajon Junction, California 92371	Beasore Rd, CA	558916	113321
Mix Canyon, Fairfield	Mt Shasta, CA	454682	87962
Mt Auscutney, VT	Gibraltar Road, Santa Barbara, CA	5151312	970954
La Luz, NM	Hwy 31 West, UT	1041248	194948
Beartooth Pass North, MT	Mission Ridge, WA	1259624	253476
Onion Valley Rd, CA	Little Cottonwood Canyon, UT	955687	179172
Beartooth Pass North, MT	Mt Rose, CA	1357152	261489
Mt Equinox, VT	Little Cottonwood Canyon, UT	3952912	750952
Palomar Mt, CA	Clingman's Dome, TN	3773550	721778
Hwy 156-Lee Canyon, NV	East Portal, CO	1403880	290314
Mt Harrision, ID	Hwy 157 (Mt Charleston), NV	852413	157946
Kolob Terrace Rd, UT	Hwy 156-Lee Canyon, NV	375582	78778
Hwy 39-Crystal Lake Rd, CA	Sonora Pass West, CA	687758	136836
Nine Mile Rd, CA	Cottonwood Pass, CO	3333542	639799
Guardsman Pass, UT	Mt Shasta, CA	1166317	223164
Mt Harrision, ID	Glacier Lodge Rd, CA	894790	171111
Hwy 156-Lee Canyon, NV	Townes Pass East, CA	239784	47982
Mineral King Rd, CA	Nine Mile Rd, CA	5013938	937772
La Luz, NM	Balch Park Rd, CA	1725038	321524
Hwy 14 Alt Route, WY	Mt Evans, CO	302235	64076
Hwy 39-Crystal Lake Rd, CA	Mt Evans, CO	1808268	372175
South Lake, CA	Hwy 143, UT	799639	169295
Mt Lemmon, AZ	Mt Ashland, OR	1929842	362121
Mineral King Rd, CA	Grand Mesa South, CO	1714388	355376
Tollhouse Rd, CA	Mosquito Ridge Rd East, CA	438585	96827
Hwy 14 Alt Route, WY	Hwy 156-158, NV	2832118	541189
Etna Summit West, CA	Wolf Creek Pass, CO	2031231	398720
Hwy 143, UT	Emigrant Pass East, CA	496491	104291
Mt Ashland, OR	Townes Pass East, CA	1015086	198626
Sonora Pass West, CA	Whiteface Mt, NY	4859982	916230
Mt Equinox, VT	Left Hand Canyon, CO	3265485	619400
Hwy 180 West, CA	Mt Graham, AZ	1289667	248495
Hwy 156-Lee Canyon, NV	Mt Lemmon, AZ	873836	165460
Mineral King Rd, CA	Guanella Pass, CO	2008561	406871
Palomar Mt, CA	Grand Mesa North, CO	1401145	271310
Hwy 14 West, WY	Wolf Creek Pass, CO	597157	121531
Pikes Peak, CO	Mt Hood, OR	2093318	415725
Glacier Lodge Rd, CA	Grand Mesa North, CO	1233786	251169
Hwy 143, UT	Dantes View, CA	580984	123488
Hwy 180 West, CA	Hwy 14 Alt Route, WY	2024298	396801
Wheeler Peak, NV	Little Cottonwood Canyon, UT	365385	76191
Onion Valley Rd, CA	Nate Harrison Grade, CA	472190	91623
Wheeler Peak, NV	Elkhorn Summit, OR	922355	180340
Valley of the Falls Dr, Forest Falls, CA 92339	Mt Graham, AZ	938120	178221
