waypoint1	waypoint2	distance_m	duration_s
Tollhouse Rd, CA	Hwy 156-158, NV	4294114	822322
Bear Creek Road, CA	Lake Sabrina, CA	554018	131402
Hwy 190, CA	Sonora Pass West, CA	325816	70527
Guanella Pass, CO	Hwy 153, UT	920063	208065
Cajon Junction, California 92371	Sandia Crest Hwy, NM	1226000	238225
Guardsman Pass, UT	Cajon Junction, California 92371	1112719	215073
Beartooth Pass North, MT	Elkhorn Summit, OR	1013265	204221
Hurricane Ridge, WA	Hwy 18-Waterman Canyon, CA	2125486	411131
South Lake, CA	Whitaker Forest Road, Badger, California	196425	49659
Portuguese Pass, CA	Mt Evans, CO	1854028	383652
Hurricane Ridge, WA	Aspen, Colorado	2328189	470683
Balch Park Rd, CA	Horseshoe Meadows Rd, CA	331984	77135
Hwy 14 Alt Route, WY	Mt Hood, OR	1848821	355930
Kolob Terrace Rd, UT	Refugio Rd, CA	936975	181392
Hwy 21-245-180-198, CA	Aspen, Colorado	1908136	390137
Balch Park Rd, CA	Daylight Pass Rd, CA	413957	101052
Mt Shasta, CA	Mt Washington Auto Rd, NH	5252845	998260
Onion Valley Rd, CA	Mosquito Ridge Rd East, CA	489575	109624
Trail Ridge Rd, CO	Hwy 21-245-180-198, CA	1984132	405886
Portuguese Pass, CA	East Portal, CO	1862810	379478
Hwy 156-Lee Canyon, NV	Cottonwood Pass, CO	1273722	266397
Guardsman Pass, UT	Hwy 180 West, CA	1193124	244481
Guanella Pass, CO	Tollhouse Rd, CA	1792866	381157
Aspen, Colorado	Death Valley Rd East, CA	1331207	268372
Breckenridge Rd East, CA	Magnolia Dr, CO	1884256	381912
Hwy 14 Alt Route, WY	Emigrant Pass East, CA	1431246	285541
Beartooth Pass North, MT	East Portal, CO	845236	172769
Nate Harrison Grade, CA	Mt Hood, OR	1715243	337521
Whitaker Forest Road, Badger, California	Hurricane Ridge, WA	1901468	378784
Dawson's Saddle, CA	Mt Rose, CA	713540	142141
Hwy 330, CA	Daylight Pass Rd, CA	372193	79739
Mt Ashland, OR	Whitney Portal, CA	901476	183827
Mineral King Rd, CA	Hwy 168, CA	278118	98092
Grand Mesa South, CO	Trail Ridge Rd, CO	415381	100611
Onion Valley Rd, CA	Death Valley Rd East, CA	112137	24044
Sherman Pass West, CA	Hwy 153, UT	891032	186400
Hwy 31 West, UT	Dantes View, CA	835174	158790
Guardsman Pass, UT	Mt Lemmon, AZ	1273627	258908
Breckenridge Rd East, CA	Mission Ridge, WA	1799366	351552
Hwy 21-245-180-198, CA	Hwy 180 West, CA	278795	54041
South Lake, CA	Lake Sabrina, CA	296911	63693
Trail Ridge Rd, CO	Shirley Meadows, CA	1791658	369132
Cajon Junction, California 92371	Whitaker Forest Road, Badger, California	416925	86026
Sonora Pass West, CA	Nate Harrison Grade, CA	728835	152309
Kolob Terrace Rd, UT	Hwy 157-158, NV	339295	73148
Hwy 168, CA	Grand Mesa North, CO	1198775	240980
N4/Table Mt, CA	Cajon Junction, California 92371	2221105	419075
Pine Creek Rd, CA	Whitney Portal, CA	2055317	394785
Hwy 180 West, CA	White Mountain, CA	268301	90259
Big Cottonwood Canyon, UT	Hwy 31 West, UT	220600	48367
Mineral King Rd, CA	Valley of the Falls Dr, Forest Falls, CA 92339	506867	111375
Mt Auscutney, VT	Magnolia Dr, CO	3371992	645605
Grand Mesa South, CO	Beasore Rd, CA	1454988	306877
Pine Creek Rd, CA	Sandia Crest Hwy, NM	2433456	465669
Portuguese Pass, CA	Clingman's Dome, TN	4010242	779653
La Luz, NM	N4/Table Mt, CA	2601007	498023
Magnolia Dr, CO	Mt Spokane, WA	1819272	353147
Monitor Pass East, CA	Shirley Meadows, CA	529680	112949
Shirley Meadows, CA	Grand Mesa North, CO	1493134	306053
N4/Table Mt, CA	East Portal, CO	1650686	310932
Hwy 180 West, CA	Daylight Pass Rd, CA	339602	106374
Mineral King Rd, CA	Pikes Peak, CO	1990539	401559
Pine Creek Rd, CA	Empire Pass, UT	1474686	282319
Beartooth Pass North, MT	White Mountain, CA	1436938	280051
Emigrant Pass East, CA	Empire Pass, UT	838704	164960
Etna Summit West, CA	Emigrant Pass East, CA	1091404	203262
Little Cottonwood Canyon, UT	Gibraltar Road, Santa Barbara, CA	1297025	249015
Hwy 190, CA	Empire Pass, UT	926728	189988
Hwy 157-158, NV	Magnolia Dr, CO	1376944	290752
Sherman Pass West, CA	Cottonwood Pass, CO	1537454	322145
Mineral King Rd, CA	N4/Table Mt, CA	2376996	465158
Magnolia Dr, CO	Mosquito Ridge Rd East, CA	1727088	366110
South Lake, CA	Hwy 156-158, NV	3986564	758545
Hwy 157 (Mt Charleston), NV	Gibraltar Road, Santa Barbara, CA	660874	131543
Mt Equinox, VT	Palomar Mt, CA	4893709	914782
Hwy 180 West, CA	Tollhouse Rd, CA	64690	15445
Big Cottonwood Canyon, UT	Dantes View, CA	820543	153957
Hwy 330, CA	White Mountain, CA	470331	92016
Hwy 14 West, WY	Hwy 156-158, NV	2835500	550353
Burke Mt, VT	Cottonwood Pass, CO	3673598	690109
Hwy 153, UT	Wolf Creek Pass, CO	831305	168119
Slumgullion Pass West, CO	Hwy 18 North, CA	2885121	546634
Hwy 14 Alt Route, WY	Beartooth Pass North, MT	674261	132371
Hwy 190, CA	Grand Mesa South, CO	1228274	257215
Hwy 14 West, WY	Townes Pass West, CA	1445198	285429
Hwy 156-Lee Canyon, NV	Mt Hood, OR	1439207	276574
Hwy 18 North, CA	Palomar Mt, CA	4029794	755285
Burke Mt, VT	Glacier Lodge Rd, CA	5049510	944429
Pikes Peak, CO	Hwy 157 (Mt Charleston), NV	1471578	300123
Mt Baldy, CA	Sandia Crest Hwy, NM	1283487	255106
Wheeler Peak, NV	Whitaker Forest Road, Badger, California	723903	180892
Pikes Peak, CO	Glacier Lodge Rd, CA	1640773	332587
Left Hand Canyon, CO	Clingman's Dome, TN	2483986	485390
Slumgullion Pass West, CO	Grand Mesa North, CO	213842	53661
Beasore Rd, CA	Mt Hood, OR	1308022	265911
Mt Baldy, CA	Dantes View, CA	410336	84877
Hwy 39-Crystal Lake Rd, CA	Onion Valley Rd, CA	429685	86346
Powder Mountain, UT	Hurricane Ridge, WA	1601025	319258
Hwy 153, UT	Mt Rose, CA	859509	162623
Hwy 153, UT	Nate Harrison Grade, CA	933037	192066
Hwy 190, CA	Mt Shasta, CA	805873	159272
Hwy 190, CA	Grand Mesa North, CO	1231115	250668
Hwy 190, CA	Mix Canyon, Fairfield	603291	129472
Mt Auscutney, VT	Hwy 14 Alt Route, WY	3311625	623373
Mineral King Rd, CA	Empire Pass, UT	1441678	290955
Parks Creek East, CA	Horseshoe Meadows Rd, CA	804279	159081
Hwy 39-Crystal Lake Rd, CA	Palomar Mt, CA	217446	49909
Left Hand Canyon, CO	Hwy 156-158, NV	2767095	537920
Cajon Junction, California 92371	Hwy 153, UT	814114	159274
Tollhouse Rd, CA	Daylight Pass Rd, CA	573310	120745
Whitaker Forest Road, Badger, California	Horseshoe Meadows Rd, CA	168228	68132
Pine Creek Rd, CA	Grand Mesa North, CO	1820705	337899
Whitaker Forest Road, Badger, California	Left Hand Canyon, CO	1687963	384869
Hwy 14 West, WY	Lake Sabrina, CA	1557211	304359
Slumgullion Pass West, CO	Onion Valley Rd, CA	1436211	303432
Whitaker Forest Road, Badger, California	Dantes View, CA	367489	111800
Little Cottonwood Canyon, UT	Mission Ridge, WA	1378837	265351
Burke Mt, VT	Little Cottonwood Canyon, UT	4166784	779584
Mt Harrision, ID	Elkhorn Summit, OR	593874	120355
Valley of the Falls Dr, Forest Falls, CA 92339	Balch Park Rd, CA	465171	100250
Mission Ridge, WA	Mt Evans, CO	2079060	404371
Dawson's Saddle, CA	Guanella Pass, CO	1723437	342145
Mineral King Rd, CA	Whitney Portal, CA	241865	91451
Mt Harrision, ID	Hwy 14 Alt Route, WY	904475	175324
Mineral King Rd, CA	Hwy 31 West, UT	1399832	285955
Mt Harrision, ID	Sandia Crest Hwy, NM	1296354	256030
Guardsman Pass, UT	Valley of the Falls Dr, Forest Falls, CA 92339	1152955	227696
Mt Ashland, OR	Death Valley Rd East, CA	872687	169262
Beasore Rd, CA	Hwy 18-Waterman Canyon, CA	612024	132713
Tollhouse Rd, CA	Mt Rose, CA	534127	113784
Rock Creek, CA	Gibraltar Road, Santa Barbara, CA	872535	175527
Hwy 143, UT	Mt Spokane, WA	1659384	312691
Mt Shasta, CA	Mt Auscutney, VT	5043367	966157
Wheeler Peak, NV	Death Valley Rd East, CA	503409	95412
Mission Ridge, WA	Mt Hood, OR	344568	87039
Townes Pass West, CA	Whiteface Mt, NY	4844500	909954
Mt Graham, AZ	Beartooth Pass North, MT	1901253	389919
Cajon Junction, California 92371	Death Valley Rd East, CA	412209	79647
Bear Creek Road, CA	Mt Shasta, CA	648041	132001
Palomar Mt, CA	Elkhorn Summit, OR	1586087	307510
Hwy 168, CA	Pine Creek Rd, CA	1904693	376196
Hwy 157 (Mt Charleston), NV	Emigrant Pass East, CA	154306	29463
Grand Mesa South, CO	Whitney Portal, CA	1296110	265216
Whitaker Forest Road, Badger, California	Hwy 14 West, WY	1652996	361744
Mt Ashland, OR	Elkhorn Summit, OR	786521	159680
Clingman's Dome, TN	Mt Evans, CO	2517672	492735
Mt Lemmon, AZ	Glacier Lodge Rd, CA	1164928	217444
Burke Mt, VT	South Lake, CA	5141273	955476
Hwy 14 Alt Route, WY	Little Cottonwood Canyon, UT	724274	140517
Aspen, Colorado	Glacier Lodge Rd, CA	1391742	287071
Mt Equinox, VT	Hwy 180 West, CA	5166999	970638
Parks Creek East, CA	Magnolia Dr, CO	1918407	394504
Hwy 156-Lee Canyon, NV	Mt Evans, CO	1436009	309988
Hwy 168, CA	Nate Harrison Grade, CA	533463	109534
Mt Washington Auto Rd, NH	Mt Hood, OR	4834389	918131
Mt Baldy, CA	Empire Pass, UT	1215625	242569
Sherman Pass West, CA	Elkhorn Summit, OR	1275550	248702
Whiteface Mt, NY	Gibraltar Road, Santa Barbara, CA	5066296	948403
Hurricane Ridge, WA	Mission Ridge, WA	380442	90508
Tollhouse Rd, CA	Lake Sabrina, CA	326215	87172
Dantes View, CA	Whitney Portal, CA	226935	52716
Hwy 18 North, CA	Hwy 156-158, NV	141910	28594
Mt Equinox, VT	Mix Canyon, Fairfield	5066457	962482
Cottonwood Pass, CO	Mt Evans, CO	257687	63288
Hwy 143, UT	Mt Washington Auto Rd, NH	4623528	871312
Glacier Lodge Rd, CA	Mt Washington Auto Rd, NH	5140570	970202
Breckenridge Rd East, CA	Cottonwood Pass, CO	1569020	315293
Refugio Rd, CA	Grand Mesa North, CO	1604219	317694
Big Cottonwood Canyon, UT	Pine Creek Rd, CA	1443632	273530
Trail Ridge Rd, CO	Monitor Pass East, CA	1580925	313648
Hurricane Ridge, WA	Sandia Crest Hwy, NM	2631947	524746
Hwy 31 West, UT	Grand Mesa North, CO	397584	80972
Hwy 18 North, CA	Mt Graham, AZ	3268025	616297
Mt Graham, AZ	Whitney Portal, CA	1150480	222617
South Lake, CA	Magnolia Dr, CO	1754683	368363
Whitaker Forest Road, Badger, California	Mt Baldy, CA	480512	102555
Mt Shasta, CA	Dantes View, CA	913308	175378
Hwy 31 West, UT	Elkhorn Summit, OR	1135446	224119
Sherman Pass West, CA	Daylight Pass Rd, CA	248404	59035
Townes Pass East, CA	Grand Mesa North, CO	1154667	231946
Hwy 330, CA	Emigrant Pass East, CA	329715	69899
Hwy 18 North, CA	Mt Washington Auto Rd, NH	1679622	340683
Pikes Peak, CO	Wheeler Peak, NV	1141910	239018
Mt Ashland, OR	Hwy 156-158, NV	4794670	939416
Powder Mountain, UT	Mt Evans, CO	831279	177748
Mt Ashland, OR	Tollhouse Rd, CA	914054	184577
Hwy 18 North, CA	Mt Baldy, CA	4134480	789663
Cottonwood Pass, CO	Whitney Portal, CA	1593938	337402
Hwy 14 Alt Route, WY	Hwy 153, UT	916437	190055
Rock Creek, CA	Mt Graham, AZ	1802808	349284
Mt Lemmon, AZ	Townes Pass West, CA	1015587	193773
Mt Auscutney, VT	Nate Harrison Grade, CA	5012817	944699
Kolob Terrace Rd, UT	Pikes Peak, CO	1170337	238010
Townes Pass West, CA	Glacier Lodge Rd, CA	175072	37061
Wheeler Peak, NV	Hwy 39-Crystal Lake Rd, CA	938357	180354
Hwy 168, CA	Aspen, Colorado	1357133	276430
Whitney Portal, CA	Horseshoe Meadows Rd, CA	21099	8219
Mt Graham, AZ	Hwy 156-158, NV	3205391	601496
Hwy 143, UT	Townes Pass West, CA	568960	112922
Pikes Peak, CO	Mt Shasta, CA	2012690	396254
Portuguese Pass, CA	Palomar Mt, CA	448973	100935
Hwy 330, CA	Etna Summit West, CA	1273076	266209
Hwy 39-Crystal Lake Rd, CA	Whitney Portal, CA	414437	84696
Nine Mile Rd, CA	Hwy 156-158, NV	1569111	305173
Whiteface Mt, NY	Mosquito Ridge Rd East, CA	4913744	932714
Whitaker Forest Road, Badger, California	Shirley Meadows, CA	162175	41045
Powder Mountain, UT	Hwy 157 (Mt Charleston), NV	846567	163212
Guardsman Pass, UT	Mission Ridge, WA	1400597	271614
Hwy 198, CA	Townes Pass East, CA	239285	77819
Hwy 157 (Mt Charleston), NV	Townes Pass West, CA	271833	53848
Mineral King Rd, CA	Parks Creek East, CA	936500	187121
Mt Graham, AZ	Aspen, Colorado	1106598	233297
Cajon Junction, California 92371	Hurricane Ridge, WA	2050537	392715
Palomar Mt, CA	Mission Ridge, WA	1995948	386326
Cajon Junction, California 92371	Hwy 143, UT	768882	154155
Monitor Pass East, CA	Hwy 31 West, UT	1023925	201558
Mt Auscutney, VT	Daylight Pass Rd, CA	4897377	923427
Valley of the Falls Dr, Forest Falls, CA 92339	Portuguese Pass, CA	349174	77127
Mix Canyon, Fairfield	Hurricane Ridge, WA	1456898	288323
Mt Harrision, ID	Daylight Pass Rd, CA	816672	147955
Hwy 21-245-180-198, CA	Hurricane Ridge, WA	1673066	334465
Hwy 156-Lee Canyon, NV	Hwy 190, CA	316232	66705
Kolob Terrace Rd, UT	Sandia Crest Hwy, NM	888057	175040
Mt Harrision, ID	Cottonwood Pass, CO	1077500	230668
Hwy 180 West, CA	Mission Ridge, WA	1603316	317089
Nate Harrison Grade, CA	Empire Pass, UT	1229505	247962
Powder Mountain, UT	South Lake, CA	1296017	250218
Mt Equinox, VT	Mt Spokane, WA	4559929	861377
Grand Mesa South, CO	Parks Creek East, CA	1710735	334504
Mt Graham, AZ	Mt Rose, CA	1519271	290739
Beasore Rd, CA	Onion Valley Rd, CA	329430	85495
Hwy 330, CA	Mt Spokane, WA	1919495	369687
Mt Spokane, WA	Sandia Crest Hwy, NM	2260562	436118
Beasore Rd, CA	Hwy 156-158, NV	4369650	844032
Rock Creek, CA	Shirley Meadows, CA	705237	139548
Beartooth Pass North, MT	Horseshoe Meadows Rd, CA	1566708	296890
Hwy 143, UT	Nine Mile Rd, CA	4189325	788184
Mt Equinox, VT	Kolob Terrace Rd, UT	4396695	827555
Kolob Terrace Rd, UT	Mt Lemmon, AZ	935984	190457
Hwy 190, CA	Hwy 157-158, NV	330811	68796
Guanella Pass, CO	Parks Creek East, CA	1936674	394394
N4/Table Mt, CA	Hwy 18 North, CA	3892522	733708
Whitney Portal, CA	Mt Rose, CA	412489	88697
La Luz, NM	Hwy 18-Waterman Canyon, CA	1338979	245559
Hwy 168, CA	Whitaker Forest Road, Badger, California	200002	74802
Powder Mountain, UT	Empire Pass, UT	121351	31331
Beartooth Pass North, MT	Wolf Creek Pass, CO	1186413	237222
Guanella Pass, CO	Breckenridge Rd East, CA	1831371	357282
Mt Equinox, VT	Clingman's Dome, TN	1904026	399010
Mt Ashland, OR	Pine Creek Rd, CA	1576312	314338
La Luz, NM	Hurricane Ridge, WA	2881409	561734
Emigrant Pass East, CA	Lake Sabrina, CA	370421	76199
Wheeler Peak, NV	Portuguese Pass, CA	778520	161349
Grand Mesa South, CO	Mission Ridge, WA	1959091	382565
Wheeler Peak, NV	Big Cottonwood Canyon, UT	368696	70279
Mt Lemmon, AZ	Beartooth Pass North, MT	1984719	395277
Slumgullion Pass West, CO	Hwy 14 Alt Route, WY	554964	121911
Wildrose, CA	Monitor Pass East, CA	2260442	448559
Dawson's Saddle, CA	Portuguese Pass, CA	262548	58752
Dawson's Saddle, CA	Wolf Creek Pass, CO	1371851	270182
Whitaker Forest Road, Badger, California	Emigrant Pass East, CA	590806	117649
Hwy 190, CA	Glacier Lodge Rd, CA	112594	23309
Whitaker Forest Road, Badger, California	Pine Creek Rd, CA	2454135	476933
Dawson's Saddle, CA	Mt Equinox, VT	4889544	914633
Dantes View, CA	Death Valley Rd East, CA	180792	40734
Hwy 180 West, CA	Cottonwood Pass, CO	1744117	360909
Wildrose, CA	Mt Rose, CA	2374246	464284
Hwy 330, CA	Hwy 157 (Mt Charleston), NV	501209	102987
Mt Equinox, VT	Dantes View, CA	4773251	898637
Bear Creek Road, CA	Daylight Pass Rd, CA	774000	160688
Refugio Rd, CA	White Mountain, CA	580566	109534
Palomar Mt, CA	Mt Graham, AZ	866762	168171
South Lake, CA	Mt Hood, OR	1447880	282890
Valley of the Falls Dr, Forest Falls, CA 92339	Horseshoe Meadows Rd, CA	362000	71590
Sherman Pass West, CA	Palomar Mt, CA	446407	96277
Slumgullion Pass West, CO	Balch Park Rd, CA	1533684	310912
Mt Graham, AZ	Daylight Pass Rd, CA	1018235	197620
Hwy 157 (Mt Charleston), NV	Mt Spokane, WA	1716836	329602
Wheeler Peak, NV	Mt Ashland, OR	1079985	213136
Valley of the Falls Dr, Forest Falls, CA 92339	Mission Ridge, WA	1882529	363716
Magnolia Dr, CO	Mt Evans, CO	87700	22867
Mt Baldy, CA	Emigrant Pass East, CA	359785	72890
Etna Summit West, CA	Shirley Meadows, CA	982809	206687
Whiteface Mt, NY	Sandia Crest Hwy, NM	3656441	685805
Hwy 18 North, CA	Sandia Crest Hwy, NM	2887471	547588
Mt Auscutney, VT	Glacier Lodge Rd, CA	4909937	926751
Hwy 21-245-180-198, CA	Mt Rose, CA	462838	108958
Etna Summit West, CA	Cottonwood Pass, CO	2035263	419153
Little Cottonwood Canyon, UT	Mt Spokane, WA	1277048	245097
Big Cottonwood Canyon, UT	Mt Evans, CO	821672	172624
Whitney Portal, CA	Emigrant Pass East, CA	300836	63174
Hwy 190, CA	N4/Table Mt, CA	1990004	379173
South Lake, CA	Hwy 39-Crystal Lake Rd, CA	294071	67106
Hwy 39-Crystal Lake Rd, CA	Emigrant Pass East, CA	412896	83088
Balch Park Rd, CA	Glacier Lodge Rd, CA	408617	90805
White Mountain, CA	Lake Sabrina, CA	77494	26341
Guardsman Pass, UT	Parks Creek East, CA	1190158	227861
N4/Table Mt, CA	Mission Ridge, WA	803366	160393
Refugio Rd, CA	Death Valley Rd East, CA	579908	111239
Hwy 168, CA	Horseshoe Meadows Rd, CA	105009	22864
Rock Creek, CA	Hwy 18 North, CA	4609106	878690
Bear Creek Road, CA	Empire Pass, UT	1355440	280110
Whiteface Mt, NY	Hwy 156-158, NV	1556162	314715
Shirley Meadows, CA	Aspen, Colorado	1586917	324355
Beasore Rd, CA	Pine Creek Rd, CA	2087444	418705
Wheeler Peak, NV	Sonora Pass West, CA	694206	137146
Mt Graham, AZ	Mt Washington Auto Rd, NH	4450077	836908
Hwy 198, CA	Horseshoe Meadows Rd, CA	147005	62736
Palomar Mt, CA	Nine Mile Rd, CA	4744975	879963
Portuguese Pass, CA	Hwy 156-158, NV	4061215	782571
Hwy 190, CA	Left Hand Canyon, CO	1559981	332957
Hwy 168, CA	Magnolia Dr, CO	1486667	301035
Hwy 18 North, CA	Hwy 14 Alt Route, WY	2765824	528071
Beasore Rd, CA	Mt Shasta, CA	785640	161751
Rock Creek, CA	Hwy 14 West, WY	1763149	337660
Big Cottonwood Canyon, UT	Whitney Portal, CA	977927	182969
Guardsman Pass, UT	Hurricane Ridge, WA	1698133	337114
Mt Equinox, VT	Hwy 190, CA	4914027	929938
Valley of the Falls Dr, Forest Falls, CA 92339	Wolf Creek Pass, CO	1318616	256473
Hwy 21-245-180-198, CA	Mt Spokane, WA	1642743	319787
Kolob Terrace Rd, UT	Shirley Meadows, CA	756147	161022
Hwy 153, UT	Empire Pass, UT	354363	72318
Cajon Junction, California 92371	Grand Mesa North, CO	1354588	273178
Etna Summit West, CA	Hwy 156-158, NV	4858834	950262
La Luz, NM	Mt Shasta, CA	2075545	389537
Rock Creek, CA	Elkhorn Summit, OR	860797	176366
Monitor Pass East, CA	Townes Pass East, CA	416916	91339
Mix Canyon, Fairfield	Mt Spokane, WA	1477280	283497
Pine Creek Rd, CA	White Mountain, CA	1928841	377914
Hwy 180 West, CA	Wolf Creek Pass, CO	1653933	329911
Guanella Pass, CO	Townes Pass West, CA	1482032	307282
Shirley Meadows, CA	Daylight Pass Rd, CA	294026	64567
Emigrant Pass East, CA	Mosquito Ridge Rd East, CA	790798	155806
Hwy 330, CA	Guanella Pass, CO	1699246	341242
Grand Mesa South, CO	South Lake, CA	1413907	295346
Hwy 157 (Mt Charleston), NV	Aspen, Colorado	1177194	249735
Hwy 156-Lee Canyon, NV	Mt Washington Auto Rd, NH	4923665	934354
Etna Summit West, CA	Mt Graham, AZ	1956520	372802
Hwy 190, CA	White Mountain, CA	168398	33202
Mt Rose, CA	Hwy 18-Waterman Canyon, CA	714830	148310
Parks Creek East, CA	Clingman's Dome, TN	4415502	864289
Dantes View, CA	Elkhorn Summit, OR	1205890	229341
Powder Mountain, UT	Whitney Portal, CA	1056476	201921
Rock Creek, CA	Dantes View, CA	763104	157102
Aspen, Colorado	Little Cottonwood Canyon, UT	677870	144865
Magnolia Dr, CO	Nate Harrison Grade, CA	1765842	372315
Mt Harrision, ID	Whitaker Forest Road, Badger, California	1059781	235005
Slumgullion Pass West, CO	Gibraltar Road, Santa Barbara, CA	1563559	319925
Hwy 180 West, CA	Hwy 39-Crystal Lake Rd, CA	503556	108809
Powder Mountain, UT	Hwy 156-Lee Canyon, NV	886097	174394
Hwy 198, CA	Wolf Creek Pass, CO	1664371	334133
Hwy 157-158, NV	Horseshoe Meadows Rd, CA	366391	74448
Wheeler Peak, NV	Palomar Mt, CA	908784	174559
Mt Baldy, CA	Gibraltar Road, Santa Barbara, CA	246022	49789
Mt Lemmon, AZ	Sonora Pass West, CA	1378151	264662
Hwy 39-Crystal Lake Rd, CA	Parks Creek East, CA	1311613	259695
Portuguese Pass, CA	Hwy 21-245-180-198, CA	435972	93586
Parks Creek East, CA	Mt Auscutney, VT	5158620	982655
Kolob Terrace Rd, UT	Beartooth Pass North, MT	1195924	236308
Mt Harrision, ID	Mt Baldy, CA	1288535	245030
N4/Table Mt, CA	Palomar Mt, CA	2340662	448522
Hwy 18 North, CA	Hwy 18-Waterman Canyon, CA	4104947	784740
Nate Harrison Grade, CA	Emigrant Pass East, CA	491707	98125
Hwy 330, CA	Grand Mesa North, CO	1348905	265951
Hwy 156-158, NV	Mt Evans, CO	2795322	536704
Mt Lemmon, AZ	Monitor Pass East, CA	1407245	269670
Mix Canyon, Fairfield	Hwy 14 West, WY	1878678	358436
Pine Creek Rd, CA	Nate Harrison Grade, CA	2418729	466330
Rock Creek, CA	Mt Auscutney, VT	5024542	950193
Dawson's Saddle, CA	Hwy 39-Crystal Lake Rd, CA	98497	30077
Slumgullion Pass West, CO	Mt Baldy, CA	1405911	287645
Beasore Rd, CA	Cottonwood Pass, CO	1676741	352755
Aspen, Colorado	Magnolia Dr, CO	336586	79512
Hwy 156-Lee Canyon, NV	Etna Summit West, CA	1099634	206704
Pikes Peak, CO	Hwy 153, UT	952099	212124
Hwy 330, CA	Mt Auscutney, VT	4956297	932546
Wildrose, CA	Mt Hood, OR	1572461	324929
Kolob Terrace Rd, UT	Mt Graham, AZ	852517	185099
Etna Summit West, CA	Breckenridge Rd East, CA	1002265	205964
Mineral King Rd, CA	Townes Pass West, CA	412234	98294
Wolf Creek Pass, CO	Empire Pass, UT	793937	170469
Kolob Terrace Rd, UT	Bear Creek Road, CA	1271857	256741
Guardsman Pass, UT	Mix Canyon, Fairfield	1202422	237868
Rock Creek, CA	Aspen, Colorado	1694708	344273
Beasore Rd, CA	Whiteface Mt, NY	4976029	956165
Aspen, Colorado	Elkhorn Summit, OR	1594491	317673
Wildrose, CA	Hwy 18-Waterman Canyon, CA	2856947	543482
South Lake, CA	Hwy 18 North, CA	4174759	797741
La Luz, NM	Death Valley Rd East, CA	1395962	270997
Hwy 157-158, NV	Sandia Crest Hwy, NM	1015581	204845
Etna Summit West, CA	Hwy 18 North, CA	4783009	920443
Hwy 330, CA	Clingman's Dome, TN	3880483	752052
Mt Equinox, VT	South Lake, CA	4947585	928399
Hwy 31 West, UT	Magnolia Dr, CO	685179	152912
Monitor Pass East, CA	Nate Harrison Grade, CA	757929	157316
Pikes Peak, CO	Whitney Portal, CA	1779295	365864
Hwy 14 West, WY	Aspen, Colorado	403661	83757
Powder Mountain, UT	Grand Mesa South, CO	587008	133503
Gibraltar Road, Santa Barbara, CA	Empire Pass, UT	1324129	255247
Mt Harrision, ID	Hwy 21-245-180-198, CA	1208549	246678
Hwy 156-Lee Canyon, NV	Magnolia Dr, CO	1413231	296382
Hwy 143, UT	Hwy 14 West, WY	961083	192703
Portuguese Pass, CA	Hwy 31 West, UT	1146192	238688
Palomar Mt, CA	Hwy 14 West, WY	1843767	370465
Guardsman Pass, UT	Grand Mesa South, CO	480966	109811
Portuguese Pass, CA	Etna Summit West, CA	967111	206578
Breckenridge Rd East, CA	Wolf Creek Pass, CO	1461837	285605
Cajon Junction, California 92371	Townes Pass East, CA	270519	53397
Mt Harrision, ID	White Mountain, CA	835017	166229
Burke Mt, VT	Death Valley Rd East, CA	4957255	928208
N4/Table Mt, CA	Aspen, Colorado	1733746	325597
Whiteface Mt, NY	Mission Ridge, WA	4393300	820487
Hwy 14 West, WY	Onion Valley Rd, CA	1528344	304567
Glacier Lodge Rd, CA	Elkhorn Summit, OR	1071660	206224
Hwy 156-Lee Canyon, NV	Cajon Junction, California 92371	462311	84246
Hwy 143, UT	Elkhorn Summit, OR	1146976	223378
Nine Mile Rd, CA	Lake Sabrina, CA	4693286	875403
Hwy 157 (Mt Charleston), NV	Mt Auscutney, VT	4742627	898829
Little Cottonwood Canyon, UT	East Portal, CO	746653	164040
Burke Mt, VT	Nate Harrison Grade, CA	5114875	952791
Horseshoe Meadows Rd, CA	Empire Pass, UT	959717	189962
Guanella Pass, CO	Magnolia Dr, CO	80071	27267
Sherman Pass West, CA	Mt Lemmon, AZ	1096203	211666
Whitaker Forest Road, Badger, California	Townes Pass East, CA	261381	86999
Mineral King Rd, CA	Glacier Lodge Rd, CA	260268	93649
Portuguese Pass, CA	Left Hand Canyon, CO	1994573	402347
Dawson's Saddle, CA	Powder Mountain, UT	1242905	241678
Slumgullion Pass West, CO	Hurricane Ridge, WA	2352286	484144
Slumgullion Pass West, CO	Hwy 39-Crystal Lake Rd, CA	1459022	297844
Hwy 168, CA	Hwy 31 West, UT	848021	166689
Hwy 14 West, WY	Mt Washington Auto Rd, NH	3537899	667307
Hwy 14 West, WY	Mt Rose, CA	1612462	305418
Hwy 198, CA	Pine Creek Rd, CA	2131509	437510
Cajon Junction, California 92371	Hwy 21-245-180-198, CA	660470	130747
Pikes Peak, CO	Mt Harrision, ID	1207205	247984
Etna Summit West, CA	Hwy 18-Waterman Canyon, CA	1266868	264119
Clingman's Dome, TN	Townes Pass East, CA	3864304	749964
La Luz, NM	Glacier Lodge Rd, CA	1692342	305468
Gibraltar Road, Santa Barbara, CA	Grand Mesa North, CO	1567623	313602
Wheeler Peak, NV	Whitney Portal, CA	625615	128986
Rock Creek, CA	Balch Park Rd, CA	660362	132976
