number, name, fiets_index_score, length, avg_grade, ele_gain, ele_desc, start_ele, end_ele, max_grade, rd_cond, traffic, lat, long, url, route_number, secondary_route_number
44, Hwy 330 California, 9.28, 18.7, 5.3, 5365, -202, 1458, 6631, 14.3, 4, 1, 34.13577606182823,	-117.19128549098969, "https://www.pjammcycling.com/45.--hwy-330--ca.html",787836
45, Mt Harrision Idaho, 9.18, 14.6, 5.7, 4298, -6, 4927, 9214, 10.2, , , 42.38671, -113.55081, "https://www.pjammcycling.com/46.--mt.-harrison--id.html",4424507
46, Sonora Pass West California, 9.09, 9.1, 7.3, 3392, -54, 6299, 9651, 14.7, 4, 4, 38.32459, -119.75218, "https://www.pjammcycling.com/47.--sonora-pass-west--ca.html",754793
47, Hwy 18-Waterman Canyon California, 9.03, 12.6, 6.4, 4331, -88, 1367, 5179, 16.7, 4, 1, 34.16959, -117.27871, "https://www.pjammcycling.com/48.--hwy-18-old-waterman-canyon.html",2402383
48, Empire Pass Utah, 9.03, 7.9, 7.9, 3211, -59, 5762, 8970, 16.2, 2, 4, 40.52911, -111.47927, "https://www.pjammcycling.com/43.--empire-pass--ut.html",4433534,
49, Hwy 157-158 Nevada, 8.98, 21.6, 4.9, 5308, -27, 2821, 8168, 8.9, 5, 3, 36.32717, -115.31336, "https://www.pjammcycling.com/49.--hwy-157-158--nv.html",694999
50, Townes Pass East California, 8.95, 16.9, 5.6, 4962, -2, 0, 4979, 10.2, 5, 4, 36.60709, -117.14599, "https://www.pjammcycling.com/50.--townes-pass-east--ca.html",8960810
51, Hurricane Ridge Washington, 8.84, 18.6, 4.9, 5314, -179, 97, 5173, 15.7, 5, 4, 48.11297, -123.41876, "https://www.pjammcycling.com/52.--hurricane-ridge--wa.html",623203
52, Hwy 14 West Wyoming, 8.79, 16.7, 5.1, 4564, -44, 4403, 9034, 16.0, 4, 4, 44.57073, -107.70719, "https://www.pjammcycling.com/51.--granite-pass--wy.html",1653954
53, Hwy 180 West California, 8.76, 18.8, 5.1, 5003, -12, 1605, 6594, 10.3, 4, 3, 36.75468, -119.18382, "https://www.pjammcycling.com/53.--hwy-180-east--ca.html",4092402
54, Grand Mesa South Colorado, 8.75, 19.1, 4.8, 4631, -21, 6215, 10875, 10.6, 4, 4, 38.9008, -107.92371, "https://www.pjammcycling.com/54.-grand-mesa-south--co.html",1211716
55, Mt Rose California, 8.72, 15.5, 5.4, 4387, -12, 4578, 8919, 10.3, 4, 1, 39.4027, -119.74638, "https://www.pjammcycling.com/55.--mt.-rose--nv.html",2783, 475241
